DATE,GRID_NO,RR,TX,TN,FF,RH,G
20130607,1,0.006,26.159,12.264,3.276,62.704,27852.12
20130607,2,0.005,26.321,12.298,3.22,62.219,27852.12
20130607,3,0.006,26.324,12.442,2.971,63.249,27843.328
20130607,4,0.006,26.382,12.453,2.908,63.606,27828.864
20130607,5,0.006,26.707,12.364,2.723,64.386,27792.84
20130607,6,0.004,26.478,12.383,3.275,61.661,27912.526
20130607,7,0.005,26.437,12.537,3.187,61.694,27893.462
20130607,8,0.005,26.4,12.611,2.99,63.032,27851.744
20130607,9,0.006,26.526,12.576,2.75,65.052,27843.784
20130607,10,0.005,26.828,12.472,2.605,65.926,27813.834
20130607,11,0.006,26.93,12.277,2.607,64.62,27837.12
20130607,12,0.006,17.304,11.856,7.709,85.891,28008.36
20130607,13,0.003,15.937,11.927,8.152,88.473,27933.803
20130607,14,0.003,17.182,12.102,8.024,87.967,27861.335
20130607,15,0.004,18.852,12.226,7.638,86.347,27869.76
20130607,16,0.003,24.098,12.517,4.057,74.268,27756.514
20130607,17,0.006,24.674,12.629,3.263,72.295,27779.04
20130607,18,0.006,26.272,12.993,3.3,62.676,27775.872
20130607,19,0.004,26.55,12.964,3.344,61.14,27852.195
20130607,20,0.005,26.673,12.727,3.347,60.159,27940.671
20130607,21,0.005,26.555,12.628,3.254,60.681,27959.855
20130607,22,0.004,26.51,12.81,2.985,62.897,27912.577
20130607,23,0.005,26.524,12.691,2.604,66.819,27856.408
20130607,24,0.006,26.678,12.567,2.436,68.696,27790.283
20130607,25,0.006,26.881,12.393,2.447,67.587,27793.795
20130607,26,0.006,27.031,11.972,2.569,61.717,27787.68
20130607,27,0.006,27.036,11.638,2.59,58.377,27646.56
20130607,28,0.006,26.939,11.394,2.603,57.638,27669.96
20130607,29,0.003,20.041,11.793,7.246,82.278,28132.15
20130607,30,0.006,19.293,11.82,7.301,83.135,28052.706
20130607,31,0.004,19.172,11.846,7.606,85.605,27943.656
20130607,32,0.005,20.923,11.959,7.262,84.483,27823.049
20130607,33,0.006,23.546,12.388,5.505,77.898,27736.686
20130607,34,0.004,25.359,12.659,3.661,73.266,27706.295
20130607,35,0.004,26.052,12.755,2.706,72.584,27682.292
20130607,36,0.005,25.693,13.155,2.538,72.74,27608.774
20130607,37,0.006,25.975,13.26,2.872,69.568,27562.115
20130607,38,0.005,26.205,13.118,3.24,63.584,27617.912
20130607,39,0.006,26.43,13.054,3.38,60.064,27738.371
20130607,40,0.005,26.512,12.929,3.431,59.126,27920.059
20130607,41,0.005,26.518,12.899,3.342,59.625,27999.937
20130607,42,0.004,26.532,12.931,3.008,62.37,27920.948
20130607,43,0.006,26.459,12.753,2.53,67.769,27803.945
20130607,44,0.004,26.444,12.607,2.342,70.425,27719.336
20130607,45,0.004,26.912,12.38,2.412,68.08,27729.62
20130607,46,0.005,27.308,11.811,2.545,60.033,27701.637
20130607,47,0.005,27.424,11.459,2.552,56.935,27691.524
20130607,48,0.004,27.414,11.238,2.555,56.745,27715.082
20130607,49,0.004,21.416,11.708,7.328,85.76,28011.82
20130607,50,0.005,21.205,11.765,7.284,84.754,28095.684
20130607,51,0.005,20.972,11.804,7.214,82.388,28124.193
20130607,52,0.005,21.248,11.828,6.943,81.326,28019.24
20130607,53,0.006,22.456,11.878,6.408,79.51,27887.563
20130607,54,0.004,23.91,11.961,5.74,77.205,27754.98
20130607,55,0.006,25.082,12.478,4.541,73.302,27650.001
20130607,56,0.003,26.273,13.001,3.36,71.09,27625.674
20130607,57,0.003,26.423,13.161,2.678,72.104,27615.974
20130607,58,0.005,25.957,13.231,2.591,72.328,27501.694
20130607,59,0.006,26.281,13.331,2.937,68.86,27352.664
20130607,60,0.005,26.321,13.231,3.234,63.415,27306.874
20130607,61,0.006,26.238,13.115,3.357,59.882,27467.923
20130607,62,0.005,26.215,13.066,3.395,58.98,27833.267
20130607,63,0.005,26.293,13.034,3.274,59.191,27991.923
20130607,64,0.004,26.54,12.969,3.073,60.887,27835.973
20130607,65,0.004,26.58,12.732,2.685,64.946,27680.746
20130607,66,0.005,26.553,12.371,2.471,67.623,27624.981
20130607,67,0.003,26.98,11.869,2.546,64.521,27627.229
20130607,68,0.005,27.545,11.441,2.583,58.404,27667.914
20130607,69,0.003,27.756,11.203,2.546,56.626,27688.108
20130607,70,0.005,27.583,10.98,2.556,56.53,27762.208
20130607,71,0.005,27.429,11.077,2.6,56.319,27838.776
20130607,72,0.002,27.301,11.095,2.635,56.209,27817.693
20130607,73,0.005,21.436,11.685,7.308,85.616,27977.946
20130607,74,0.005,21.381,11.756,7.26,85.207,27984.306
20130607,75,0.004,22.339,11.936,6.767,81.356,27970.528
20130607,76,0.005,23.442,12.046,5.741,75.661,27933.797
20130607,77,0.005,24.547,12.139,4.936,71.856,27784.697
20130607,78,0.004,25.319,12.168,4.567,70.927,27622.114
20130607,79,0.006,25.912,12.605,3.956,69.457,27508.885
20130607,80,0.005,26.277,12.948,3.458,68.105,27491.52
20130607,81,0.007,26.38,13.034,3.297,67.372,27533.957
20130607,82,0.011,26.362,13.109,3.311,66.569,27315.131
20130607,83,0.004,26.795,13.409,3.271,66.065,26932.315
20130607,84,0.005,26.681,13.248,3.276,63.028,26708.846
20130607,85,0.004,26.409,13.126,3.245,60.501,26788.471
20130607,86,0.005,26.213,13.151,3.167,59.155,27339.387
20130607,87,0.005,26.185,13.117,3.135,58.987,27655.229
20130607,88,0.005,26.76,13.089,3.067,60.265,27462.051
20130607,89,0.003,26.791,12.736,2.917,59.981,27374.526
20130607,90,0.004,26.611,12.146,2.91,57.554,27429.029
20130607,91,0.005,26.92,11.469,2.879,57.076,27504.083
20130607,92,0.004,27.391,10.831,2.7,56.049,27633.74
20130607,93,0.004,27.572,11.028,2.594,54.754,27742.183
20130607,94,0.005,27.415,10.999,2.594,54.693,27868.357
20130607,95,0.006,27.211,11.08,2.624,54.964,27972.392
20130607,96,0.005,27.183,11.053,2.641,55.655,27870.84
20130607,97,0.006,21.534,11.626,6.984,83.572,27896.377
20130607,98,0.004,21.47,11.689,6.763,82.213,27840.42
20130607,99,0.004,23.493,12.022,5.587,75.351,27809.98
20130607,100,0.004,25.286,12.368,4.242,67.919,27776.28
20130607,101,0.004,25.956,12.614,3.938,66.32,27614.649
20130607,102,0.006,26.256,12.657,3.991,67.316,27481.397
20130607,103,0.005,26.565,12.874,3.704,67.633,27322.646
20130607,104,0.004,26.698,12.94,3.423,67.218,27309.789
20130607,105,0.026,26.477,12.765,3.473,66.021,27319.029
20130607,106,0.117,26.384,12.7,3.632,63.789,27006.293
20130607,107,0.006,26.842,12.85,3.487,64.06,26365.7
20130607,108,0.006,27.032,12.916,3.346,62.133,25857.037
20130607,109,0.004,26.987,13.132,3.215,61.156,25683.386
20130607,110,0.005,26.557,13.213,3.033,62.643,26021.103
20130607,111,0.005,26.377,13.099,2.978,63.167,26511.035
20130607,112,0.003,26.627,12.998,2.998,61.838,26777.828
20130607,113,0.005,26.352,12.678,2.975,58.758,26919.653
20130607,114,0.005,26.386,12.232,2.991,55.675,27145.683
20130607,115,0.006,26.597,11.724,2.959,55.329,27384.992
20130607,116,0.003,26.942,11.362,2.713,52.723,27590.097
20130607,117,0.004,27.068,11.471,2.593,50.16,27778.497
20130607,118,0.006,26.944,11.449,2.606,51.004,28002.406
20130607,119,0.004,26.739,11.263,2.64,52.798,28183.437
